InvoiceNo,DateKey,StockCode,CustomerID,Quantity,UnitPrice,SalesAmount
566230,20110911,20914,15159,12,2.95,35.400000000000006
566230,20110911,22348,15159,12,0.85,10.2
566230,20110911,84375,15159,12,2.1,25.200000000000003
566230,20110911,22966,15159,12,1.25,15
566230,20110911,23412,15159,6,7.5,45
566230,20110911,23073,15159,1,12.5,12.5
566231,20110911,23380,14837,24,0.39,9.36
566231,20110911,21232,14837,12,1.25,15
566231,20110911,23374,14837,10,0.82,8.2
566231,20110911,21584,14837,20,1.65,33
566231,20110911,84380,14837,12,1.45,17.4
566231,20110911,23242,14837,6,2.08,12.48
566231,20110911,23241,14837,6,2.08,12.48
566231,20110911,21427,14837,6,2.1,12.600000000000001
566231,20110911,23301,14837,12,1.65,19.799999999999997
566231,20110911,23083,14837,6,3.75,22.5
566231,20110911,23082,14837,6,3.75,22.5
566231,20110911,22909,14837,12,0.85,10.2
566231,20110911,22952,14837,24,0.55,13.200000000000001
566231,20110911,22142,14837,12,1.45,17.4
566231,20110911,23435,14837,12,2.08,24.96
566231,20110911,23434,14837,12,2.08,24.96
566231,20110911,23399,14837,12,0.85,10.2
566231,20110911,22457,14837,6,2.95,17.700000000000003
566232,20110911,21137,15159,24,3.39,81.36
566232,20110911,22041,15159,12,2.55,30.599999999999998
566232,20110911,23302,15159,12,1.65,19.799999999999997
566232,20110911,22147,15159,12,1.45,17.4
566232,20110911,22149,15159,6,2.1,12.600000000000001
566232,20110911,23295,15159,16,0.83,13.28
566233,20110911,23196,12635,12,1.45,17.4
566233,20110911,23145,12635,12,0.95,11.399999999999999
566233,20110911,23144,12635,12,0.83,9.959999999999999
566233,20110911,23273,12635,12,1.65,19.799999999999997
566233,20110911,23274,12635,12,1.65,19.799999999999997
566233,20110911,23296,12635,8,1.25,10
566233,20110911,23294,12635,8,0.83,6.64
566233,20110911,23297,12635,16,1.65,26.4
566233,20110911,23311,12635,6,2.55,15.299999999999999
566233,20110911,23326,12635,48,0.63,30.240000000000002
566233,20110911,23323,12635,6,2.1,12.600000000000001
566233,20110911,23322,12635,6,2.95,17.700000000000003
566233,20110911,23321,12635,12,1.65,19.799999999999997
566233,20110911,23344,12635,10,2.08,20.8
566233,20110911,23346,12635,12,1.25,15
566233,20110911,23345,12635,12,1.25,15
566233,20110911,23354,12635,12,0.83,9.959999999999999
566233,20110911,23353,12635,12,0.83,9.959999999999999
566233,20110911,23432,12635,12,0.83,9.959999999999999
566233,20110911,23433,12635,12,0.83,9.959999999999999
566233,20110911,23431,12635,24,0.83,19.919999999999998
566233,20110911,16045,12635,100,0.04,4
566233,20110911,20984,12635,24,0.29,6.959999999999999
566233,20110911,21402,12635,24,0.12,2.88
566233,20110911,21403,12635,24,0.12,2.88
566233,20110911,22403,12635,12,0.39,4.68
566233,20110911,35810A,12635,12,0.83,9.959999999999999
566233,20110911,84929,12635,24,0.19,4.5600000000000005
566233,20110911,21249,12635,6,2.95,17.700000000000003
566233,20110911,23247,12635,6,2.89,17.34
566233,20110911,23198,12635,12,1.45,17.4
566233,20110911,23197,12635,12,1.45,17.4
566233,20110911,22720,12635,3,4.95,14.850000000000001
566233,20110911,22979,12635,12,1.45,17.4
566233,20110911,22624,12635,2,8.5,17
566233,20110911,21843,12635,1,10.95,10.95
566233,20110911,22890,12635,2,9.95,19.9
566233,20110911,22303,12635,6,2.55,15.299999999999999
566233,20110911,23292,12635,8,1.25,10
566233,20110911,23256,12635,4,4.15,16.6
566233,20110911,23254,12635,4,4.15,16.6
566233,20110911,22894,12635,2,9.95,19.9
566233,20110911,23052,12635,2,8.25,16.5
566233,20110911,23054,12635,2,8.25,16.5
566233,20110911,23050,12635,2,8.25,16.5
566233,20110911,23192,12635,12,1.65,19.799999999999997
566233,20110911,22953,12635,12,1.25,15
566233,20110911,20983,12635,12,0.85,10.2
566233,20110911,22585,12635,12,1.25,15
566233,20110911,21380,12635,6,2.95,17.700000000000003
566233,20110911,21165,12635,12,1.69,20.28
566233,20110911,22467,12635,6,2.55,15.299999999999999
566233,20110911,84755,12635,16,0.65,10.4
566233,20110911,84950,12635,12,0.65,7.800000000000001
566233,20110911,21666,12635,12,0.65,7.800000000000001
566233,20110911,23086,12635,16,1.25,20
566233,20110911,23087,12635,16,1.25,20
566233,20110911,23199,12635,10,2.08,20.8
566233,20110911,23240,12635,6,4.15,24.900000000000002
566233,20110911,23307,12635,24,0.55,13.200000000000001
566233,20110911,POST,12635,7,18,126
566234,20110911,21430,15035,1,3.75,3.75
566234,20110911,22732,15035,2,1.25,2.5
566234,20110911,23353,15035,1,0.83,0.83
566234,20110911,22557,15035,1,1.65,1.65
566234,20110911,22738,15035,1,1.65,1.65
566234,20110911,21390,15035,2,1.25,2.5
566234,20110911,23349,15035,1,1.25,1.25
566234,20110911,85123A,15035,12,2.95,35.400000000000006
566234,20110911,21733,15035,12,2.95,35.400000000000006
566234,20110911,20668,15035,96,0.12,11.52
566234,20110911,22224,15035,4,2.95,11.8
566234,20110911,20828,15035,10,2.55,25.5
566234,20110911,22784,15035,4,4.95,19.8
566234,20110911,71053,15035,1,3.75,3.75
566234,20110911,71053,15035,3,3.75,11.25
566234,20110911,85230B,15035,48,0.29,13.919999999999998
566234,20110911,21175,15035,2,2.55,5.1
566234,20110911,21181,15035,2,2.1,4.2
566234,20110911,21166,15035,2,2.08,4.16
566234,20110911,22413,15035,2,2.95,5.9
566234,20110911,22412,15035,4,2.1,8.4
566234,20110911,82600,15035,2,2.1,4.2
566234,20110911,85152,15035,2,2.1,4.2
566234,20110911,85150,15035,2,2.55,5.1
566234,20110911,72818,15035,12,0.85,10.2
566234,20110911,72817,15035,12,1.25,15
566234,20110911,21034,15035,4,0.95,3.8
566235,20110911,82494L,15636,12,2.95,35.400000000000006
566235,20110911,22792,15636,24,0.85,20.4
566235,20110911,84946,15636,12,1.25,15
566235,20110911,82552,15636,12,1.45,17.4
566235,20110911,82583,15636,24,2.1,50.400000000000006
566235,20110911,22791,15636,12,1.25,15
566235,20110911,23110,15636,2,5.75,11.5
566235,20110911,23147,15636,12,1.45,17.4
566235,20110911,23418,15636,12,2.08,24.96
566235,20110911,23138,15636,12,1.45,17.4
566235,20110911,23394,15636,4,3.75,15
566235,20110911,84947,15636,12,1.25,15
566235,20110911,21181,15636,12,2.1,25.200000000000003
566235,20110911,82484,15636,4,7.95,31.8
566235,20110911,85123A,15636,18,2.95,53.1
566235,20110911,22831,15636,6,2.95,17.700000000000003
566235,20110911,82482,15636,12,2.95,35.400000000000006
566236,20110911,22698,16384,6,2.95,17.700000000000003
566236,20110911,22699,16384,6,2.95,17.700000000000003
566236,20110911,22697,16384,6,2.95,17.700000000000003
566236,20110911,22423,16384,2,12.75,25.5
566236,20110911,23171,16384,12,1.65,19.799999999999997
566236,20110911,23170,16384,12,1.65,19.799999999999997
566236,20110911,23173,16384,2,9.95,19.9
566236,20110911,21974,16384,12,1.45,17.4
566236,20110911,22776,16384,2,9.95,19.9
566237,20110911,21733,13742,6,2.95,17.700000000000003
566237,20110911,23322,13742,6,2.95,17.700000000000003
566237,20110911,23323,13742,6,2.1,12.600000000000001
566237,20110911,22191,13742,2,8.5,17
566237,20110911,22626,13742,2,8.5,17
566237,20110911,22193,13742,4,8.5,34
566237,20110911,22624,13742,2,8.5,17
566237,20110911,21770,13742,2,4.95,9.9
566238,20110911,23404,17377,1,4.95,4.95
566238,20110911,23393,17377,1,3.75,3.75
566238,20110911,23395,17377,1,3.75,3.75
566238,20110911,23395,17377,1,3.75,3.75
566238,20110911,23396,17377,1,3.75,3.75
566238,20110911,23393,17377,1,3.75,3.75
566238,20110911,23396,17377,1,3.75,3.75
566238,20110911,21928,17377,1,2.08,2.08
566238,20110911,22386,17377,1,2.08,2.08
566238,20110911,21929,17377,1,2.08,2.08
566238,20110911,23414,17377,1,9.95,9.95
566238,20110911,23203,17377,1,2.08,2.08
566238,20110911,22900,17377,10,3.25,32.5
566238,20110911,23356,17377,2,5.95,11.9
566238,20110911,22111,17377,2,4.95,9.9
566238,20110911,21733,17377,1,2.95,2.95
566238,20110911,47590A,17377,1,5.45,5.45
566238,20110911,22630,17377,1,1.95,1.95
566238,20110911,22630,17377,1,1.95,1.95
566238,20110911,21733,17377,1,2.95,2.95
566238,20110911,47590B,17377,1,5.45,5.45
566238,20110911,21621,17377,2,8.5,17
566238,20110911,21034,17377,1,0.95,0.95
566238,20110911,22449,17377,3,3.35,10.05
566238,20110911,85123A,17377,4,2.95,11.8
566238,20110911,22659,17377,2,1.95,3.9
566239,20110911,23355,14665,8,4.95,39.6
566239,20110911,84029G,14665,8,4.25,34
566239,20110911,84029E,14665,8,4.25,34
566239,20110911,22865,14665,12,2.1,25.200000000000003
566239,20110911,22633,14665,12,2.1,25.200000000000003
566239,20110911,21908,14665,12,2.1,25.200000000000003
566239,20110911,23426,14665,6,2.89,17.34
566239,20110911,21166,14665,12,2.08,24.96
566239,20110911,21175,14665,12,2.55,30.599999999999998
566239,20110911,21181,14665,12,2.1,25.200000000000003
566239,20110911,23344,14665,20,2.08,41.6
566239,20110911,21430,14665,4,3.75,15
566239,20110911,23201,14665,10,2.08,20.8
566239,20110911,22384,14665,10,1.65,16.5
566239,20110911,23207,14665,10,1.65,16.5
566239,20110911,21232,14665,12,1.25,15
566239,20110911,21231,14665,12,1.25,15
566239,20110911,22367,14665,8,1.95,15.6
566239,20110911,22847,14665,1,16.95,16.95
566239,20110911,22846,14665,1,16.95,16.95
566239,20110911,23155,14665,24,0.83,19.919999999999998
566239,20110911,22812,14665,12,1.95,23.4
566239,20110911,82001S,14665,4,3.75,15
566239,20110911,21137,14665,4,3.75,15
566240,20110911,20685,14508,1,8.25,8.25
566240,20110911,48138,14508,1,8.25,8.25
566240,20110911,23232,14508,25,0.42,10.5
566240,20110911,22743,14508,1,2.95,2.95
566240,20110911,37449,14508,1,9.95,9.95
566240,20110911,23131,14508,1,4.15,4.15
566240,20110911,85099B,14508,1,2.08,2.08
566240,20110911,22998,14508,1,0.42,0.42
566240,20110911,22488,14508,1,1.65,1.65
566240,20110911,22727,14508,1,3.75,3.75
566240,20110911,21533,14508,1,4.95,4.95
566240,20110911,21754,14508,1,6.25,6.25
566240,20110911,22499,14508,1,5.95,5.95
566240,20110911,23091,14508,1,6.25,6.25
566240,20110911,21080,14508,1,0.85,0.85
566240,20110911,23337,14508,1,2.08,2.08
566240,20110911,22909,14508,2,0.85,1.7
566240,20110911,22423,14508,1,12.75,12.75
566240,20110911,23313,14508,1,4.95,4.95
566240,20110911,23318,14508,2,2.49,4.98
566240,20110911,23301,14508,1,1.65,1.65
566240,20110911,23300,14508,13,1.65,21.45
566240,20110911,23391,14508,1,4.15,4.15
566240,20110911,72598,14508,9,0.85,7.6499999999999995
566241,20110911,84970L,15939,12,0.95,11.399999999999999
566241,20110911,72351B,15939,144,1.69,243.35999999999999
566242,20110911,22349,15502,6,3.75,22.5
566242,20110911,22350,15502,6,2.55,15.299999999999999
566242,20110911,23301,15502,12,1.65,19.799999999999997
566242,20110911,23300,15502,12,1.65,19.799999999999997
566242,20110911,22844,15502,4,8.5,34
566242,20110911,22845,15502,2,6.35,12.7
566242,20110911,22853,15502,6,3.25,19.5
566242,20110911,22852,15502,4,4.25,17
566243,20110911,22847,15502,2,16.95,33.9
566244,20110911,22867,15502,12,2.1,25.200000000000003
566244,20110911,22866,15502,12,2.1,25.200000000000003
566244,20110911,22632,15502,12,2.1,25.200000000000003
566244,20110911,22633,15502,12,2.1,25.200000000000003
566244,20110911,22865,15502,12,2.1,25.200000000000003
566245,20110911,20981,13426,12,0.85,10.2
566245,20110911,20982,13426,12,0.85,10.2
566245,20110911,22029,13426,12,0.42,5.04
566245,20110911,21497,13426,25,0.42,10.5
566245,20110911,23045,13426,25,4.15,103.75000000000001
566245,20110911,23245,13426,16,4.15,66.4
566245,20110911,21165,13426,12,1.69,20.28
566245,20110911,85150,13426,24,2.55,61.199999999999996
566245,20110911,21181,13426,12,2.1,25.200000000000003
566245,20110911,22469,13426,24,1.65,39.599999999999994
566245,20110911,23357,13426,24,4.15,99.60000000000001
566246,20110911,23083,13941,48,3.29,157.92000000000002
566246,20110911,23082,13941,48,3.29,157.92000000000002
566246,20110911,21731,13941,144,1.45,208.79999999999998
566246,20110911,79321,13941,48,4.95,237.60000000000002
566246,20110911,22179,13941,24,5.95,142.8
566246,20110911,79302M,13941,6,2.95,17.700000000000003
566246,20110911,85173,13941,6,2.55,15.299999999999999
566246,20110911,72741,13941,72,1.25,90
566247,20110911,85123A,16107,32,2.55,81.6
566247,20110911,22720,16107,32,4.25,136
566247,20110911,47566,16107,20,4.95,99
566248,20110911,84818,13272,24,0.79,18.96
566248,20110911,85015,13272,24,0.65,15.600000000000001
566248,20110911,23404,13272,6,4.95,29.700000000000003
566248,20110911,15060B,13272,4,3.75,15
566248,20110911,22112,13272,3,4.95,14.850000000000001
566248,20110911,22114,13272,4,4.25,17
566248,20110911,22720,13272,3,4.95,14.850000000000001
566248,20110911,23403,13272,4,3.75,15
566249,20110911,23412,13527,3,7.5,22.5
566249,20110911,84879,13527,8,1.69,13.52
566249,20110911,23397,13527,3,9.95,29.849999999999998
566249,20110911,22456,13527,3,4.95,14.850000000000001
566249,20110911,22265,13527,7,0.65,4.55
566249,20110911,22507,13527,2,4.95,9.9
566249,20110911,22173,13527,3,3.29,9.870000000000001
566249,20110911,82482,13527,6,2.95,17.700000000000003
566249,20110911,23131,13527,6,4.15,24.900000000000002
566249,20110911,22189,13527,3,3.95,11.850000000000001
566249,20110911,22470,13527,3,2.95,8.850000000000001
566249,20110911,22457,13527,4,2.95,11.8
566249,20110911,82494L,13527,6,2.95,17.700000000000003
566249,20110911,23431,13527,12,0.83,9.959999999999999
566249,20110911,22558,13527,5,1.65,8.25
566249,20110911,23414,13527,3,9.95,29.849999999999998
566249,20110911,21756,13527,1,6.25,6.25
566249,20110911,21755,13527,2,6.25,12.5
566249,20110911,21754,13527,2,6.25,12.5
566249,20110911,22120,13527,1,9.95,9.95
566249,20110911,21745,13527,2,3.75,7.5
566249,20110911,22469,13527,6,1.65,9.899999999999999
566249,20110911,22580,13527,3,5.95,17.85
566249,20110911,23323,13527,6,2.1,12.600000000000001
566249,20110911,22856,13527,19,1.25,23.75
566249,20110911,22147,13527,3,1.45,4.35
566249,20110911,20972,13527,6,1.25,7.5
566249,20110911,22749,13527,1,3.75,3.75
566249,20110911,22749,13527,1,3.75,3.75
566249,20110911,22751,13527,1,3.75,3.75
566249,20110911,22940,13527,1,4.25,4.25
566249,20110911,22940,13527,1,4.25,4.25
566249,20110911,22750,13527,1,3.75,3.75
566249,20110911,23298,13527,2,4.95,9.9
566249,20110911,23399,13527,10,0.85,8.5
566249,20110911,21314,13527,8,2.1,16.8
566249,20110911,22144,13527,1,2.1,2.1
566249,20110911,22142,13527,1,1.45,1.45
566249,20110911,22142,13527,1,1.45,1.45
566249,20110911,22780,13527,1,4.25,4.25
566249,20110911,22144,13527,2,2.1,4.2
566249,20110911,23100,13527,4,1.25,5
566249,20110911,23263,13527,6,1.25,7.5
566249,20110911,84836,13527,6,1.25,7.5
566249,20110911,22219,13527,6,0.85,5.1
566249,20110911,22227,13527,10,0.65,6.5
566249,20110911,22338,13527,10,0.65,6.5
566249,20110911,22265,13527,3,0.65,1.9500000000000002
566250,20110911,22041,15587,48,2.1,100.80000000000001
566250,20110911,21137,15587,72,3.39,244.08
566251,20110911,85049G,12841,4,1.25,5
566251,20110911,85049E,12841,4,1.25,5
566251,20110911,85049H,12841,4,1.25,5
566251,20110911,21213,12841,24,0.55,13.200000000000001
566251,20110911,21204,12841,5,1.65,8.25
566251,20110911,21391,12841,3,0.75,2.25
566251,20110911,23392,12841,1,2.08,2.08
566251,20110911,22932,12841,6,2.55,15.299999999999999
566251,20110911,23122,12841,12,0.83,9.959999999999999
566251,20110911,23296,12841,2,1.25,2.5
566251,20110911,23275,12841,5,1.25,6.25
566251,20110911,22812,12841,5,1.95,9.75
566251,20110911,23354,12841,4,0.83,3.32
566251,20110911,22584,12841,6,2.55,15.299999999999999
566251,20110911,23432,12841,24,0.83,19.919999999999998
566251,20110911,35970,12841,36,1.69,60.839999999999996
566251,20110911,21374,12841,5,1.25,6.25
566251,20110911,21373,12841,4,0.75,3
566251,20110911,47422,12841,10,0.42,4.2
566251,20110911,47422,12841,10,0.42,4.2
566251,20110911,22468,12841,2,6.75,13.5
566251,20110911,85049A,12841,4,1.25,5
566253,20110911,23331,13527,19,0.63,11.97
566254,20110911,20685,13993,4,7.95,31.8
566254,20110911,21523,13993,10,6.75,67.5
566254,20110911,48184,13993,10,6.75,67.5
566254,20110911,22961,13993,12,1.45,17.4
566254,20110911,22557,13993,12,1.65,19.799999999999997
566254,20110911,21754,13993,3,5.95,17.85
566254,20110911,21755,13993,3,5.95,17.85
566254,20110911,22413,13993,6,2.95,17.700000000000003
566254,20110911,22784,13993,24,4.25,102
566254,20110911,22960,13993,6,4.25,25.5
566255,20110911,22956,13324,48,1.85,88.80000000000001
566255,20110911,22955,13324,48,1.85,88.80000000000001
566255,20110911,23296,13324,128,1.04,133.12
566255,20110911,23294,13324,128,0.72,92.16
566255,20110911,23295,13324,128,0.72,92.16
566255,20110911,22961,13324,192,1.25,240
566255,20110911,22665,13324,48,2.55,122.39999999999999
566255,20110911,23175,13324,24,2.75,66
566255,20110911,23174,13324,24,3.75,90
566255,20110911,23173,13324,12,8.15,97.80000000000001
566255,20110911,22699,13324,48,2.55,122.39999999999999
566255,20110911,22698,13324,24,2.55,61.199999999999996
566255,20110911,22697,13324,24,2.55,61.199999999999996
566255,20110911,22423,13324,16,10.95,175.2
566255,20110911,21213,13324,240,0.42,100.8
566255,20110911,21975,13324,120,0.42,50.4
566255,20110911,84991,13324,120,0.42,50.4
566255,20110911,21977,13324,120,0.42,50.4
566256,20110911,22730,12680,4,3.75,15
566256,20110911,22726,12680,4,3.75,15
566256,20110911,20682,12680,6,3.25,19.5
566256,20110911,37495,12680,4,3.75,15
566256,20110911,21208,12680,12,0.39,4.68
566256,20110911,20751,12680,12,2.1,25.200000000000003
566256,20110911,POST,12680,1,18,18
566257,20110911,22961,13324,96,1.25,120
566257,20110911,22699,13324,24,2.55,61.199999999999996
566257,20110911,22698,13324,24,2.55,61.199999999999996
566257,20110911,22697,13324,24,2.55,61.199999999999996
566257,20110911,22423,13324,32,10.95,350.4
566257,20110911,21213,13324,120,0.42,50.4
566257,20110911,21975,13324,120,0.42,50.4
566257,20110911,84991,13324,120,0.42,50.4
566257,20110911,21977,13324,120,0.42,50.4
566258,20110911,20686,13124,3,3.25,9.75
566258,20110911,20971,13124,7,1.25,8.75
566258,20110911,23071,13124,1,12.5,12.5
566258,20110911,23071,13124,1,12.5,12.5
566258,20110911,22147,13124,6,1.45,8.7
566258,20110911,84929,13124,12,0.19,2.2800000000000002
566258,20110911,22924,13124,24,0.85,20.4
566258,20110911,23356,13124,3,5.95,17.85
566258,20110911,21485,13124,1,4.95,4.95
566258,20110911,21485,13124,1,4.95,4.95
566258,20110911,22835,13124,1,4.95,4.95
566258,20110911,22113,13124,1,4.25,4.25
566258,20110911,21481,13124,3,3.75,11.25
566258,20110911,22113,13124,2,4.25,8.5
566258,20110911,22111,13124,3,4.95,14.850000000000001
566258,20110911,22835,13124,1,4.95,4.95
566258,20110911,22835,13124,1,4.95,4.95
566258,20110911,23356,13124,1,5.95,5.95
566258,20110911,23071,13124,1,12.5,12.5
566258,20110911,84836,13124,12,1.25,15
566258,20110911,23071,13124,1,12.5,12.5
566258,20110911,22095,13124,2,0.39,0.78
566258,20110911,22400,13124,10,0.39,3.9000000000000004
566258,20110911,22730,13124,2,3.75,7.5
566258,20110911,21823,13124,26,1.45,37.699999999999996
566258,20110911,22729,13124,2,3.75,7.5
566258,20110911,22728,13124,2,3.75,7.5
566258,20110911,22726,13124,2,3.75,7.5
566258,20110911,22727,13124,2,3.75,7.5
566258,20110911,23209,13124,10,1.65,16.5
566258,20110911,20726,13124,10,1.65,16.5
566258,20110911,22371,13124,4,4.25,17
566258,20110911,22382,13124,10,1.65,16.5
566258,20110911,22630,13124,8,1.95,15.6
566258,20110911,22629,13124,6,1.95,11.7
566258,20110911,22662,13124,10,1.65,16.5
566258,20110911,23256,13124,4,4.15,16.6
566258,20110911,22383,13124,10,1.65,16.5
566258,20110911,23256,13124,2,4.15,8.3
566258,20110911,23254,13124,6,4.15,24.900000000000002
566258,20110911,23255,13124,6,4.15,24.900000000000002
566258,20110911,23240,13124,6,4.15,24.900000000000002
566258,20110911,23245,13124,4,4.95,19.8
566258,20110911,23237,13124,6,4.15,24.900000000000002
566258,20110911,23191,13124,6,1.65,9.899999999999999
566258,20110911,22469,13124,8,1.65,13.2
566258,20110911,23103,13124,15,1.65,24.75
566258,20110911,21892,13124,10,1.25,12.5
566258,20110911,22243,13124,6,1.65,9.899999999999999
566258,20110911,23238,13124,6,4.15,24.900000000000002
566258,20110911,23130,13124,6,4.15,24.900000000000002
566258,20110911,23184,13124,6,4.95,29.700000000000003
566258,20110911,35471D,13124,10,0.39,3.9000000000000004
566258,20110911,79149B,13124,2,0.42,0.84
566258,20110911,23079,13124,8,8.95,71.6
566258,20110911,85150,13124,5,2.55,12.75
566258,20110911,22927,13124,4,5.95,23.8
566258,20110911,23202,13124,3,2.08,6.24
566258,20110911,22411,13124,3,2.08,6.24
566258,20110911,21931,13124,3,2.08,6.24
566258,20110911,22405,13124,6,1.25,7.5
566258,20110911,21124,13124,10,1.25,12.5
566258,20110911,21121,13124,10,1.25,12.5
566258,20110911,17021,13124,24,0.3,7.199999999999999
566258,20110911,22968,13124,2,9.95,19.9
566258,20110911,22423,13124,3,12.75,38.25
566258,20110911,84879,13124,40,1.69,67.6
566258,20110911,22409,13124,12,1.25,15
566258,20110911,82583,13124,2,2.1,4.2
566258,20110911,23129,13124,6,4.15,24.900000000000002
566258,20110911,82583,13124,1,2.1,2.1
566258,20110911,23127,13124,6,4.95,29.700000000000003
566258,20110911,22149,13124,8,2.1,16.8
566258,20110911,15056N,13124,2,5.95,11.9
566258,20110911,85014B,13124,2,5.95,11.9
566258,20110911,15056BL,13124,2,5.95,11.9
566258,20110911,20679,13124,2,5.95,11.9
566258,20110911,23208,13124,10,1.65,16.5
566258,20110911,20725,13124,10,1.65,16.5
566258,20110911,22326,13124,8,2.95,23.6
566258,20110911,22349,13124,1,3.75,3.75
566258,20110911,23108,13124,8,6.25,50
566258,20110911,23203,13124,3,2.08,6.24
566258,20110911,20682,13124,3,3.25,9.75
566258,20110911,22940,13124,6,4.25,25.5
566259,20110911,23320,17317,48,2.49,119.52000000000001
566259,20110911,23313,17317,150,4.15,622.5
566259,20110911,23085,17317,48,8.25,396
566259,20110911,22086,17317,120,2.55,306
566259,20110911,21098,17317,72,1.06,76.32000000000001
566259,20110911,22738,17317,120,1.45,174
566259,20110911,85048,17317,48,6.95,333.6
566260,20110911,21259,14212,48,4.95,237.60000000000002
566260,20110911,21977,14212,120,0.42,50.4
566260,20110911,84991,14212,120,0.42,50.4
566260,20110911,21790,14212,144,0.72,103.67999999999999
566260,20110911,20728,14212,100,1.45,145
566260,20110911,23206,14212,100,1.45,145
566260,20110911,20723,14212,200,0.72,144
566260,20110911,20724,14212,200,0.72,144
566260,20110911,21212,14212,120,0.42,50.4
566261,20110911,22487,13372,1,9.95,9.95
566261,20110911,22766,13372,8,2.95,23.6
566261,20110911,82482,13372,6,2.55,15.299999999999999
566261,20110911,82494L,13372,6,2.95,17.700000000000003
566261,20110911,22595,13372,12,0.85,10.2
566261,20110911,22720,13372,3,4.95,14.850000000000001
566261,20110911,21906,13372,2,6.75,13.5
566261,20110911,22427,13372,3,5.95,17.85
566261,20110911,84510A,13372,10,1.25,12.5
566261,20110911,84509A,13372,8,3.75,30
566261,20110911,22304,13372,6,2.55,15.299999999999999
566261,20110911,22305,13372,6,2.55,15.299999999999999
566261,20110911,21983,13372,24,0.29,6.959999999999999
566261,20110911,21984,13372,24,0.29,6.959999999999999
566261,20110911,22666,13372,6,2.95,17.700000000000003
566261,20110911,23093,13372,8,2.49,19.92
566261,20110911,22423,13372,1,12.75,12.75
566261,20110911,85053,13372,6,2.1,12.600000000000001
566261,20110911,20934,13372,2,5.45,10.9
566261,20110911,22969,13372,12,1.45,17.4
566261,20110911,23110,13372,2,5.75,11.5
566261,20110911,22690,13372,2,7.95,15.9
566261,20110911,C2,13372,1,50,50
566262,20110911,23265,15527,1,1.25,1.25
566262,20110911,23333,15527,6,1.25,7.5
566262,20110911,22834,15527,2,2.1,4.2
